date,tweets,pos,neg,neutr,open,high,low,volume,close
2017-01-27,876,208,47,621,251.38,253,248.52,3166336,252.95
2017-01-30,681,146,36,499,252.53,255.29,247.1,3801074,250.63
2017-01-31,858,227,57,574,249.24,255.89,247.7,4116104,251.93
2017-02-01,972,159,46,767,253.05,253.2,249.05,3958829,249.24
2017-02-02,115,29,4,82,248.34,252.42,247.71,2499775,251.55
2017-02-03,222,51,19,152,251.91,252.18,249.68,2186723,251.33
2017-02-06,651,185,59,407,251,257.82,250.63,3562517,257.77
2017-02-07,1139,244,146,749,258.19,260,256.42,4244775,257.48
2017-02-08,997,223,75,699,257.35,263.36,256.2,3933014,262.08
2017-02-09,1570,430,140,1000,266.25,271.18,266.15,7820222,269.2
2017-02-10,1197,248,175,774,269.79,270.95,266.11,3619739,269.23
2017-02-13,1345,360,101,884,270.74,280.79,270.51,7029605,280.6
2017-02-14,1255,438,97,720,279.03,287.39,278.61,7345224,280.98
2017-02-15,983,244,131,608,280,282.24,276.44,4947856,279.76
2017-02-16,99,10,10,79,277.6,280,268.5,7077322,268.95
2017-02-17,322,101,31,190,265.8,272.89,264.15,6257149,272.23
2017-02-21,898,208,99,591,275.45,281.4,274.01,5676747,277.39
2017-02-22,1642,449,171,1022,280.31,283.45,272.6,8754975,273.51
2017-02-23,5033,1485,531,3017,264,264.66,255.56,14915249,255.99
2017-02-24,1807,505,209,1093,252.66,258.25,250.2,8171626,257
2017-02-27,1455,280,180,995,248.17,248.36,242.01,11460810,246.23
2017-02-28,1147,250,89,808,244.19,251,243.9,6078145,249.99
2017-03-01,931,213,69,649,254.18,254.85,249.11,4809488,250.02
2017-03-02,898,196,60,642,249.71,253.28,248.27,3351833,250.48
2017-03-03,881,168,65,648,251.33,251.9,249,2929234,251.57
2017-03-06,557,105,47,405,247.91,251.7,247.51,3355500,251.21
2017-03-07,563,107,33,423,251.92,253.89,248.32,3459470,248.59
2017-03-08,736,214,53,469,247,250.07,245.32,3728649,246.87
2017-03-09,851,197,57,597,247.63,248.66,243,3879293,244.9
2017-03-10,654,114,52,488,246.21,246.5,243,3066272,243.69
2017-03-13,545,107,35,403,244.82,246.85,242.78,3022625,246.17
2017-03-14,1171,290,103,778,246.11,258.12,246.02,7598446,258
2017-03-15,1000,241,99,660,257,261,254.27,5330806,255.73
2017-03-16,1573,409,145,1019,262.4,265.75,259.06,7132153,262.05
2017-03-17,1035,243,91,701,264,265.33,261.2,6497496,261.5
2017-03-20,617,142,48,427,260.6,264.55,258.82,3614294,261.92
2017-03-21,654,162,54,438,262.83,264.8,250.24,6908554,250.68
2017-03-22,653,116,63,474,251.56,255.07,250.51,4059297,255.01
2017-03-23,686,114,43,529,255.39,257.67,253.3,3320245,254.78
2017-03-24,942,212,149,581,255.7,263.89,255.01,5647253,263.16
2017-03-27,903,266,79,558,260.6,270.57,259.75,6230795,270.22
2017-03-28,1691,391,172,1128,277.02,280.68,275,7987604,277.45
2017-03-29,922,203,75,644,278.34,279.6,275.54,3676157,277.38
2017-03-30,783,198,90,495,278.04,282,277.21,4148426,277.92
2017-03-31,884,252,100,532,278.73,279.68,276.32,3294640,278.3
2017-04-03,3426,842,226,2358,286.9,299,284.58,13888618,298.52
2017-04-04,3138,908,276,1954,296.89,304.81,294.53,10134556,303.7
2017-04-05,1499,398,109,992,302.04,304.88,294.2,7880938,295
2017-04-06,1190,277,104,809,296.88,301.94,294.1,5520588,298.7
2017-04-07,987,270,65,652,297.5,302.69,297.15,4579613,302.54
2017-04-10,2333,686,200,1447,309.15,313.73,308.71,7664458,312.39
2017-04-11,1539,376,137,1026,313.38,313.47,305.5,5724577,308.71
2017-04-12,1258,249,119,890,306.34,308.45,296.32,6050682,296.84
2017-04-13,1913,419,194,1300,296.7,307.39,295.3,9284634,304
2017-04-17,877,215,64,598,302.7,304,298.68,4138736,301.44
2017-04-18,1020,254,59,707,299.7,300.84,297.9,3035698,300.25
2017-04-19,1125,268,76,781,302.46,306.62,302.11,3898024,305.52
2017-04-20,1376,267,160,949,306.51,309.15,300.23,6149352,302.51
2017-04-21,1253,249,220,784,302,306.4,300.42,4509756,305.6
2017-04-24,1105,184,117,804,309.22,310.55,306.02,5083505,308.03
2017-04-25,1044,199,132,713,308,313.98,305.86,6737708,313.79
2017-04-26,997,243,102,652,312.37,314.5,309,4695044,310.17
2017-04-27,933,225,65,643,311.69,313.09,307.5,3468569,308.63
2017-04-28,1105,277,61,767,309.83,314.8,308,4505478,314.07
2017-05-01,1314,348,85,881,314.88,327.25,314.81,8829565,322.83
2017-05-02,1200,277,98,825,324,327.66,316.56,5382777,318.89
2017-05-03,2093,470,304,1319,317.67,321.53,310.45,7133365,311.02
2017-05-04,2981,783,363,1835,307.44,307.77,290.76,14152008,295.46
2017-05-05,1612,422,136,1054,298,308.55,296.8,8177347,308.35
2017-05-08,1368,337,221,810,310.9,313.79,305.82,7006471,307.19
2017-05-09,1434,329,102,1003,309.38,321.99,309.1,9676537,321.26
2017-05-10,1582,389,99,1094,321.56,325.5,318.12,5741607,325.22
2017-05-11,1028,275,93,660,323.4,326,319.6,4753819,323.1
2017-05-12,1166,270,81,815,325.48,327,321.53,4121612,324.81
2017-05-15,1184,296,116,772,318.38,320.2,312.53,7622004,315.88
2017-05-16,925,197,117,611,317.59,320.06,315.14,4152484,317.01
2017-05-17,872,138,76,658,314.39,314.63,305.5,6711940,306.11
2017-05-18,1021,281,52,688,307,313.94,305.31,5653801,313.06
2017-05-19,924,183,48,693,315.5,316.5,310.2,4687572,310.83
2017-05-22,1035,286,88,661,312.8,314.37,306.8,4329178,310.35
2017-05-23,1144,239,65,840,310.46,310.73,303.48,4318354,303.86
2017-05-24,1110,266,98,746,306.51,311,305.4,5041692,310.22
2017-05-25,1086,297,87,702,311.02,316.97,307.81,5013963,316.83
2017-05-26,1460,350,173,937,317.28,325.49,316.31,7802199,325.14
2017-05-30,1271,331,81,859,326,336.28,325.76,7782916,335.1
2017-05-31,416,119,32,265,337.69,342.89,335.16,9963444,341.01
